;avg latency (quantile 0.5);WorkerCount;denormalizedPredictedResponseTimeAdded0Worker;denormalizedPredictedResponseTimeAdded-1Worker;denormalizedPredictedResponseTimeAdded-2Worker;denormalizedPredictedResponseTimeAdded-3Worker;denormalizedPredictedResponseTimeAdded1Worker;denormalizedPredictedResponseTimeAdded2Worker;denormalizedPredictedResponseTimeAdded3Worker;denormalizedPredictedResponseTimeAdded4Worker;denormalizedPredictedResponseTimeAdded5Worker;advice;postScaledTargetVariable
88;3917476.551;4.0;3269416.335909906;3395413.7128012674;4637026.874025201;3864015.9313353533;2586527.810225273;4722818.705503239;2790264.49656649;4310374.719428636;2946879.101459845;0;
89;3626488.0883333324;4.0;1830703.3383111048;3577913.0836885003;2812895.801146721;2754767.9157144856;3144372.2746475316;3198206.539811838;3139871.6573301037;1976667.3907520599;3742961.4145652545;0;
90;3294698.7186666667;4.0;1821923.9751771619;3831996.5350917345;2378994.3231969364;2780057.3099142127;3235273.4477421665;2434176.8715043836;3537545.000719965;1518427.3924013998;3903732.9815027765;0;
91;2930142.1996666663;4.0;1647888.9221005535;3689334.786436636;2518122.3068672796;2335236.2834412144;3088192.0964287757;2570778.5899957377;3363882.5623464654;1672222.4060459689;3887281.881795029;0;
92;2832440.6339999996;4.0;1862825.3812076813;3495720.9866733556;2935748.702252722;2734127.7073379774;3102326.2497237185;3478733.5120678484;2916341.3903342523;2133813.592614707;3510065.417532056;0;
94;2556003.94;4.0;1896062.316551967;2560729.7298968434;2379561.5640138937;1351618.8454874496;3336003.79489984;2791298.410416448;2691752.5922336895;2398329.061964589;3225038.963194907;0;
95;2215342.4416666664;5.0;2785073.311858475;3309948.105230396;1261361.9687664828;2453630.24096497;3755528.0496099624;1866604.7883627818;3780873.023569342;1741331.6466556196;3907948.2088423967;0;
96;2127316.2983333333;5.0;2048989.292863807;1459701.3740202002;3512456.8879552623;-777527.2459203623;1847328.1731843592;4018026.5211152937;-494594.1466636624;3581037.666592116;-1544540.8100056571;0;
98;4100058.7302;5.0;1748429.555685314;2970059.79557181;558511.3811019241;3224449.292521475;3840413.820412888;1088175.123410813;3199067.994602318;829875.2987095843;2431771.1202521673;1;3840413.820412888
99;2581305.9838000005;5.0;2419918.8593734363;2824376.374521454;1207130.030217327;2960638.791533617;3719345.6498564812;1037803.7036477473;4784005.255058217;-876370.2327042411;3985969.2101958506;0;
100;3795163.7862;5.0;2207102.389361971;1969184.8114171217;1483884.9027556763;1998767.9962433046;3231888.1493782685;3312616.872703272;758621.5932512737;4464579.486770527;565500.1438314621;0;
101;2672086.7274;5.0;3457196.2841254813;1913441.2647606363;2541420.2653990225;2304160.487541144;1732765.5382923894;2985043.291946889;1295301.5700455767;3837417.588157702;1342586.5027629232;0;
102;2319093.133;5.0;3556671.000270834;2232546.5878290613;3823985.004226882;3205808.9697560593;2996234.365517662;2640165.0879661413;3200256.887827762;3703140.660822222;1864137.8833093399;0;
103;2303898.6072500004;5.0;3543648.5372188417;2297434.797904597;3155682.519068256;2586782.4426179715;2254707.905441398;3596898.221323117;1978425.2631281586;3988136.57867497;1333376.2909910795;0;
104;2593098.79125;6.0;3420025.5066125114;2533145.6164413323;3071205.331677991;2057688.221942259;2119349.5015553166;3602510.96152782;1535844.5663596722;3989336.1799367256;1288034.2916072004;0;
105;2195004.259333333;6.0;2208352.5242807125;2057348.291302296;3954969.7049767077;-160237.88298155667;1169725.1152784568;4271186.23589812;-944952.2844827247;2315303.7667756984;-80381.73203183225;0;
