timestamp,PktIn,KBIn,AVG_RR,Inter,CTXSW,KBOut,CPU,SUM_RR,PktOut,vm_number,AVG_LAT_05
1566913552,0.3,0.030126953125,8.17642186111111,1497.7,2081.5166666666664,0.43390299479166666,23.28333333333333,24.53237358333333,0.26666666666666666,3,3653.2163333333333
1566913567,0.3,0.030582682291666663,11.205139201387432,2194.183333333333,2676.3,0.43369140625,31.166666666666746,33.61941633361749,0.25,3,4769.0053333333335
1566913583,0.3,0.030126953125,11.973294200391328,1795.7333333333331,2260.883333333333,0.4344563802083333,24.766666666666737,35.91988260117398,0.26666666666666666,3,4769.0053333333335
1566913598,0.3,0.030126953125,11.686666666666666,1151.9833333333333,1727.533333333333,0.4334798177083333,16.183333333333252,35.06,0.25,3,4786.3983333333335
1566913614,0.2833333333333333,0.029899088541666667,11.86,1560.55,2141.6666666666665,0.4313313802083333,21.76666666666667,35.58,0.21666666666666667,3,4786.3983333333335
1566913629,0.31666666666666665,0.031266276041666666,13.793333333333333,2050.6666666666665,2548.516666666667,0.433154296875,28.183333333333373,41.38,0.25,3,4793.751333333334
1566913645,0.26666666666666666,0.028759765625,16.686666666666667,2553.65,2888.433333333333,0.434375,34.8499999999999,50.06,0.25,3,4711.686333333333
1566913660,0.31666666666666665,0.031266276041666666,18.17,3259.05,3500.2333333333336,0.435888671875,45.75000000000011,54.51000000000001,0.2833333333333333,3,4719.039333333332
1566913676,0.3,0.030126953125,20.336733900672343,3631.716666666666,3786.7,0.436279296875,51.583333333333165,61.01020170201703,0.2833333333333333,3,4769.716666666667
1566913691,0.26666666666666666,0.028759765625,23.590000000000003,3906.166666666666,3975.9666666666662,0.4338704427083333,55.250000000000284,70.77000000000002,0.2333333333333333,3,5100.063
1566913707,0.3,0.030126953125,29.29666666666667,4119.283333333333,4174.8499999999985,0.43487955729166666,58.76666666666665,87.88999999999999,0.26666666666666666,3,5121.442999999998
1566913722,0.26664167416441736,0.028756958849845044,31.846666666666664,3983.240271251958,4056.216186810623,0.4359261345945175,58.65439868039602,95.54,0.2666366756639675,3,6624.0796666666665
1566913737,0.3000300090027008,0.030129966724392318,33.94,4161.934842119303,4231.285920776233,0.43593234708693857,59.212835517321814,101.82,0.2833633423360341,3,6630.721333333333
1566913753,0.31666666666666665,0.031266276041666666,35.646666666666654,4224.866666666667,4282.983333333334,0.4388997395833333,59.750000000000036,106.94,0.31666666666666665,3,6637.694
1566913768,0.25,0.028076171875,37.049877234560974,4156.7,4177.866666666667,0.4341145833333333,59.73333333333329,111.14963170368294,0.2333333333333333,3,7856.185333333333
1566913784,0.2833333333333333,0.029443359375,37.28666666666667,3971.383333333333,4059.916666666666,0.436572265625,58.89999999999977,111.86,0.2833333333333333,4,7871.079000000002
1566913799,0.31666666666666665,0.030810546875,37.586666666666666,4210.65,4219.433333333333,0.4376302083333333,60.250000000000064,112.76,0.31666666666666665,4,9689.960333333333
1566913815,0.3249968751562421,0.032177383440398284,37.67333333333333,4470.532537748113,6293.695006499675,0.4351630251739366,67.96298872556359,113.01999999999998,0.2749968751562422,4,9763.131
1566913861,0.3,0.030810546875,21.075707717327173,1538.025,2198.1875,0.4333618164062501,22.937500000000053,84.3055308693087,0.25,4,10508.4585
1566913877,0.2875,0.0299560546875,19.806999791666666,2049.9875,2538.9,0.43370361328125,28.95000000000002,79.23198166666667,0.25,4,10544.09525
1566913892,0.2875,0.0299560546875,19.163615555555555,2418.6125,2838.9125,0.4322265625,33.4000000000001,76.65793555555554,0.225,4,10792.4425
